dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"An Exclusive Land Location Awaits You, Buy Estate Land Now",25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,"A very serene and peaceful fast growing estate community to build your dream home. 
Land comes with...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Land Opposite the Government Affordable Housing for Sale,50000.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",The Nest Cottage is located just opposite the Government Affordable Housing which is on the...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,1 Plot Roadside Land,180000.0,,Eastern Region,Akuapim North,"Eastern Region, Akuapim North","Verified ID, 5+ years on Jiji","1 plot of Roadside land for sale at Yensiso, main road from Accra to Koforidua road. Suitable for...",True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,2 Plots of Land Located Behind Uncompleted SHS School,60000.0,,Ashanti,Kwabre,"Ashanti, Kwabre",,"2 Plots Of Land with no litigation and a genuine documents for sale
*Benefits*
Very suitable...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,10 Acres of Mix Use,40000.0,,Eastern Region,Akuapim North,"Eastern Region, Akuapim North","Verified ID, 5+ years on Jiji","10 acres of mix use land for sale
Quick sales, litigation free
Access road ready
Closer to...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Cashew Nut Farm for Sale,65000.0,,Brong Ahafo,Tain,"Brong Ahafo, Tain",,"10acres of cashew nut farm for sale, outright price of ¢65000... no time wasters only serious and...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Land in South West McCarthy,150000.0,,Greater Accra,McCarthy Hill,"Greater Accra, McCarthy Hill",5+ years on Jiji,Building plot available in develop area going for cool price contact for details,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Estate Land for Sale,25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,In need of land? look no further. Call Estate Masters for litigation free airport area land at...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,A Plot of Land for Sale at Affordable Price at Fetteh Kakraba,75000.0,,Central Region,Gomoa East,"Central Region, Gomoa East",Verified ID,"Good access road, developing area,serene environment and about 5 minutes walk from the main Kasoa...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"Special Discount for Early Buyers, Act Fast, ""Dominase """,15000.0,,Central Region,Gomoa East,"Central Region, Gomoa East",3+ years on Jiji,"Estate comes with peace of mind, free from litigation or land guard intrusion. 
We have a flexible...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Lavish Lands For Sale At Prampram,40000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 3+ years on Jiji","Buy a genuine land at an affordable  price and pay with ease.
Become a land Lord within a serene...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Furnished 2bdrm Apartment In Dzorwulu For Rent,1400.0,"2 rooms, 2 bedrooms",Greater Accra,Dzorwulu,"Greater Accra, Dzorwulu",5+ years on Jiji,"PLEASE NOTE:
REMEMBER TO  ONLY  CALL ME DIRECT OR SEND A DIRECT MESSAGE TO ME ON  WHATSAPP WITH...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Masterpiece Classic Studio/Daily Rate,400.0,"1 room, 1 bedroom",Greater Accra,East Legon,"Greater Accra, East Legon",3+ years on Jiji,"Whether you're here for business or leisure, Masterpiece Apartments ensures a memorable and relaxing...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"14 Plots of Prime, Secure and Affordable Lands for Sale, at Fetteh.",40000.0,,Central Region,Gomoa East,"Central Region, Gomoa East",Verified ID,"This 14 plots of land is located in a serene environment, at Gomoa Fetteh Kese, flat Land and good...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Buy Genuine and Litigation Free Lands From Estate Masters Ltd.,25000.0,,Greater Accra,Ningo-Prampram,"Greater Accra, Ningo-Prampram","Verified ID, 3+ years on Jiji","Our lands are titled and free from litigation and land guards. 
Our lands are well situated in...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Uncompleted House For Sale,870000.0,,Ashanti,Kwabre,"Ashanti, Kwabre",3+ years on Jiji,"House for sale at Abuabugya new site off atimatim , 7 bedrooms, with each toilet and bath, big hall,...",True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"25,000 Acres Of Registered Farmland For Sale At Asamankese.",13500.0,"Owner, 50000sqm",Eastern Region,East Akim Municipal,"Eastern Region, East Akim Municipal","Verified ID, 3+ years on Jiji","25,000 Plus Acres Of Registered Fertile Farmland at Asamankese for sale. Price is per acre. 1 acre...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Own Land Void of Litigation- Promo Sales,10000.0,70sqm,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,Hey! its time to own a land void of litigations and reward your hardwork. own a plot with just 11000...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Registered One Plot of Land at Moree for Sale,85000.0,,Central Region,Abura/Asebu/Kwamankese,"Central Region, Abura/Asebu/Kwamankese",Verified ID,One plot and half. Selling only the one plot for now,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,One Acre Farm Land for Sale,35000.0,,Ashanti,Kwabre,"Ashanti, Kwabre",,Farm Land For Sale at a cool price,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Land for Sale,330077700.0,,Greater Accra,Adjiriganor,"Greater Accra, Adjiriganor",,You can contact me for your affordable land,True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,11bdrm Villa in Lakeside Community 8 for sale,5000000.0,"1100sqm, 11 bedrooms",Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe",Verified ID,"Luxury Multi-Structure Compound with Rooftop Studio
Looking for space, style, and versatility? This...",True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,The Loft Apartments - 2 Bedrooms (Short Stay),5000.0,"7 rooms, 2 bedrooms",Greater Accra,Weija,"Greater Accra, Weija",3+ years on Jiji,"""THE GALLERY"" is an EXECUTIVE beautiful cozy and modern apartment with exclusive facility which...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Good Location Land With Free Documentation,15000.0,,Greater Accra,Kasoa,"Greater Accra, Kasoa",Verified ID,"Land on the Accra-winneba Road at Panfokrom, close to the Potsin police station and just opposite...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Masterpiece Studio+Starlink Internet-Daily Rate,450.0,"1 room, 1 bedroom",Greater Accra,East Legon,"Greater Accra, East Legon",3+ years on Jiji,Fully furnished studio located in the heart of East Legon along a major road and in close proximity...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,One/Two Bedrooms Fully Furnished Airbnb Apartment 4 Short/Long Stays,600.0,"1 room, 1 bedroom",Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"Step into a beautifully appointed one-bedroom apartment, where style meets comfort. The inviting...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Beach View Land Near Winneba,70000.0,,Central Region,Effutu Municipal,"Central Region, Effutu Municipal",5+ years on Jiji,This land is a beach view land slightly on a hill... The location offers a beautiful aerial View of...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Litigation Free Lands in Tsopoli Near Saglemi Housing Projec,25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 3+ years on Jiji",Our lands are free from litigation and affordable as well. We offer you free site visit on Tuesdays...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Own This Land With Confidence in Prampram,60000.0,,Greater Accra,Ningo-Prampram,"Greater Accra, Ningo-Prampram",Verified ID,"We’ve all heard the horror stories—land disputes, double sales, missing documents. It’s enough to...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Hot Sale! Land at GHS – Near Akoti (Installment Available),42000.0,,Greater Accra,Kasoa,"Greater Accra, Kasoa",5+ years on Jiji,"Hot Offer! Land at GHS 42,000
Pay half and own your plot—balance in 9 months.with documentation...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"A Little Foundation for Your Success, Own a Land Today",25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,"Our estate land comes with free documentation after the land has been purchased by you. 
We offer...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Half Plot for Sale at Santasi Darko,40000.0,,Ashanti,Atwima Kwanwoma,"Ashanti, Atwima Kwanwoma",5+ years on Jiji,Diamond city estate developer were selling a half plot of land at santasi darko new site. Allocation...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Land for Sale,800000.0,100sqm,Greater Accra,Taifa-Burkina,"Greater Accra, Taifa-Burkina",,"Genuine 2 Plots of land for sale at Taifa post office
Titled, 
Price: GHS 600,000 per plot
200x70",True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"12,000 Acres Of Farmland For Sale At Asamankese.",13500.0,,Eastern Region,East Akim Municipal,"Eastern Region, East Akim Municipal","Verified ID, 3+ years on Jiji",Vast farmland for sale at Asamankese. Price is per acre. Land is very fertile and can take all...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Afienya-(No Litigation) Estate Half Plots,22000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",Verified ID,"Buy half plots with no litigation, measured 80x50sq ft. has accessible roads, availability of water...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Aburi-Pokrom-Amanfrom Land,85000.0,,Eastern Region,Akuapim South,"Eastern Region, Akuapim South",5+ years on Jiji,"Beautiful flat land, up high, with amazing views of the Aburi-Nsawam road
close to the Kingdom...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Paramount Estate Land at Dominase for All Projects.,25000.0,,Central Region,Gomoa East,"Central Region, Gomoa East",Verified ID,"Dominase site is on the Accra-winneba Road, Direct opposite 4x4 Guest House and few minutes walk...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Half Plot of Land at Kumasi Santasi Darko,70000.0,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",5+ years on Jiji,"Diamond city estate Developer we,re selling a half plot of land at kumasi santasi Darko,...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,20 Acres of Farmland for Sale,35000.0,,Eastern Region,Akuapim North,"Eastern Region, Akuapim North","Verified ID, 5+ years on Jiji","20 acres of farmland for sale at Adukrom Akuapim, land is located in a prime area, ready road...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"Daily Short Stay – Modern 2 Bedroom Apartment, Tema Comm 25",600.0,"2 rooms, 2 bedrooms",Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 3+ years on Jiji","SHORT STAY ONLY  – not normal monthly rent.
Weekly & monthly discounts available for long stays....",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Cold Store Storage Facility,120000.0,"Furnished, 1500sqm",Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 5+ years on Jiji","Cold store storage facilities are available at Tema Harbour for Rent.
The Cold room are well built...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,4bdrm House in Kasoa for sale,350000.0,"100sqm, 4 bedrooms",Greater Accra,Kasoa,"Greater Accra, Kasoa",5+ years on Jiji,"Un completed 4 bedroom house 
Located at Liberia camp 
Land size. 100 by 70",True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Two Plots at Target for Sale,700000.0,,Northern Region,Tamale Municipal,"Northern Region, Tamale Municipal",3+ years on Jiji,A two plot of land at Target/Kalariga for sale. The plots are walled. The land is by the road not...,True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Furnished 1 Bedroom At Dzorwulu For Rent,500.0,"1 room, 1 bedroom",Greater Accra,Dzorwulu,"Greater Accra, Dzorwulu",5+ years on Jiji,"Please note:
remember to only call me direct or send a direct message to me on whatsapp with screen...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,2 Plots for Sale at New Legon,206070.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",2 plots for sale at New Legon close to the road good for residence or apartment,True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Executive Office Space for Rent,3000.0,"Unfurnished, 1500sqm",Greater Accra,North Legon,"Greater Accra, North Legon",Verified ID,Executive office just by main Haatso legon road going for for six months.,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Office Spaces Available 35sqm to 500sqm Tse Addo,5800.0,"Unfurnished, 35sqm",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Prime Office Space in Tse Addo - Ideal for Your Business
Looking for a strategic location for your...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Road Side Land for Sale,750000.0,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",5+ years on Jiji,6 plots on road side land for sale at ahinkro,True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Quiet and Secure Residential Lands – Perfect for Families,25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,Residential plots available and for sale. Unlock your dreams of an urban and luxurious home by...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,1bdrm Apartment in Osu Ako Adjei for rent,1300.0,,Greater Accra,Osu,"Greater Accra, Osu","Verified ID, 5+ years on Jiji","Single room self contain to let osu ako adjei, bedroom, floor tiled, glaze windows, clean paved...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Own a Genuine Lands Around the Proposed Airport,25000.0,,Greater Accra,Ningo-Prampram,"Greater Accra, Ningo-Prampram",Verified ID,"Buy Land from Estate Masters Limited, a company with 10years trust records in Lands.we have land at...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Very Affordable Lands Available for Sale,15000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,A genuine land at Panfrokrom near the Panfrokrom Technical Senior High School. Litigation Free and...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"Buy Land Now! Dont Wait to Buy It Tomorrow. ""Land for Sale""",25000.0,50sqm,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,PROMO ALERT: Enjoy instant 10% discount on any size of land you buy when you make instead payment...,False,Platform A,
